"","RELEASE_YEAR","totreleases"
"1",1979,850900
"2",1980,1157100
"3",1981,7100432
"4",1982,8941600
"5",1983,13878900
"6",1984,18964000
"7",1985,14469697
"8",1986,16204915
"9",1987,13067306
"10",1988,10734608
"11",1989,7438125
"12",1990,13273229
"13",1991,12069112
"14",1992,13567167
"15",1993,13402990
"16",1994,10689155
"17",1995,14532244
"18",1996,4129769
"19",1997,7340793
"20",1998,10016161
"21",1999,11722472
"22",2000,7776808
"23",2001,4256685
"24",2002,4152899
"25",2003,4510082
"26",2004,3704567
"27",2005,4517998
"28",2006,2349960
"29",2007,2909211
"30",2008,445289
"31",2009,1977552
"32",2010,3924700
"33",2011,3767591
"34",2012,1897091
"35",2013,1757592
"36",2014,3805158
"37",2015,3398659
"38",2016,2287225
"39",2017,4219609
"40",2018,3093643
"41",2019,4485126
"42",2020,3340234
