SYS_NM,notnas,inlet,subinlet,distancefromconuma
BRODICK CREEK,49,esperanza,esperanza,61655
BURMAN RIVER,66,nootka,gold,54299
CANTON CREEK,62,nootka,conuma,3718
CHUM CREEK,56,esperanza,espinosa,75361
CONUMA RIVER,65,nootka,conuma,0
DESERTED CREEK,59,nootka,conuma,16768
ESPINOSA CREEK,59,esperanza,espinosa,76904
HAMMOND CREEK,54,esperanza,eliza,78677
HOISS CREEK,56,nootka,nootka,20255
KLEEPTEE CREEK,58,nootka,gold,27400
LEINER RIVER,66,tahsis,tahsis,46500
LITTLE ZEBALLOS RIVER,64,esperanza,zeballos,58802
LORD CREEK,50,esperanza,esperanza,43611
MAMAT CREEK,51,esperanza,espinosa,73524
MARVINAS BAY CREEK,47,nootka,nootka,24133
MOOYAH RIVER,54,nootka,gold,23265
OWOSSITSA CREEK,51,esperanza,esperanza,63067
PARK RIVER,63,esperanza,eliza,70239
RANSOM RIVER,55,esperanza,ransom,92551
SUCWOA RIVER,60,nootka,conuma,5286
TAHSIS RIVER,65,tahsis,tahsis,46465
TLUPANA RIVER,61,nootka,conuma,10890
TSOWWIN RIVER,60,tahsis,tahsis,30761
ZEBALLOS RIVER,66,esperanza,zeballos,63279
