Response,Candidate model,link
log RPS,Log RPS ~ dist ,d
log RPS,Log RPS ~ year,y
log RPS,Log RPS ~ releases,r
log RPS,Log RPS ~ dist + year,dy
log RPS,Log RPS ~ dist + totrel,dr
log RPS,Log RPS ~ totrel + year,ry
log RPS,Log RPS ~ dist + totrel + year,dry
log escapement,Log esc ~ dist ,e.d
log escapement,Log esc ~ year,e.y
log escapement,Log esc ~ releases,e.r
log escapement,Log esc ~ dist + year,e.dy
log escapement,Log esc ~ dist + totrel,e.dr
log escapement,Log esc ~ totrel + year,e.ry
log escapement,Log esc ~ dist + totrel + year,e.dry
