id,stream,dist_km
,BISH CREEK,11.998
,WATHL CREEK,4.47
,DALA RIVER,32.303
,KILDALA RIVER,34.146
,KEMANO RIVER,111.829
,BRIM RIVER,97.71
,HUGH CREEK,37.112
,PIKE CREEK,41.635
,WEEWANIE CREEK,39.982
,GILTTOYEES CREEK,52.216
,FOCH RIVER,52.191
,QUAAL RIVER,65.544
,KITKIATA CREEK,63.528
,KILTUISH RIVER,91.658
,CRAB RIVER,55.985
,EVELYN CREEK,64.768
,MARSHALL CREEK,133.004
,KLEKANE RIVER,124.855
,SCOW BAY CREEK,122.091
,MARMOT COVE CREEK,117.746
,AALTANHASH RIVER,132.2
,KHUTZE RIVER,138.697
,HEAD CREEK,48
