"","RELEASE_YEAR","totreleases","group"
"1",1982,30345,"Douglas Gardner CU"
"2",1985,1610528,"Douglas Gardner CU"
"3",1986,3711922,"Douglas Gardner CU"
"4",1987,337508,"Douglas Gardner CU"
"5",1988,4330373,"Douglas Gardner CU"
"6",1989,5886343,"Douglas Gardner CU"
"7",1990,5084735,"Douglas Gardner CU"
"8",1991,5987318,"Douglas Gardner CU"
"9",1992,6422330,"Douglas Gardner CU"
"10",1993,4354039,"Douglas Gardner CU"
"11",1994,5894443,"Douglas Gardner CU"
"12",1995,5389124,"Douglas Gardner CU"
"13",1996,5649085,"Douglas Gardner CU"
"14",1997,4997625,"Douglas Gardner CU"
"15",1998,5827122,"Douglas Gardner CU"
"16",1999,6341451,"Douglas Gardner CU"
"17",2000,4341672,"Douglas Gardner CU"
"18",2001,4538316,"Douglas Gardner CU"
"19",2002,4921186,"Douglas Gardner CU"
"20",2003,4957773,"Douglas Gardner CU"
"21",2004,4338437,"Douglas Gardner CU"
"22",2005,4334899,"Douglas Gardner CU"
"23",2006,4809420,"Douglas Gardner CU"
"24",2007,4622504,"Douglas Gardner CU"
"25",2008,3380600,"Douglas Gardner CU"
"26",2009,1457826,"Douglas Gardner CU"
"27",2010,3675243,"Douglas Gardner CU"
"28",2011,1688600,"Douglas Gardner CU"
"29",2012,2214441,"Douglas Gardner CU"
"30",2013,1778747,"Douglas Gardner CU"
"31",2014,1701765,"Douglas Gardner CU"
"32",2015,1634750,"Douglas Gardner CU"
"33",2016,1631143,"Douglas Gardner CU"
"34",2017,1766658,"Douglas Gardner CU"
"35",2018,882536,"Douglas Gardner CU"
"36",2019,1635975,"Douglas Gardner CU"
"37",2020,1807913,"Douglas Gardner CU"
